слово;количество;процент
и;113;6.775
в;50;2.998
на;40;2.399
она;29;1.739
он;23;1.379
с;23;1.379
как;20;1.2
волчиха;19;1.14
не;19;1.14
а;18;1.08
по;18;1.08
что;18;1.08
уже;16;0.96
к;15;0.9
то;13;0.78
от;12;0.72
его;11;0.66
щенок;11;0.66
это;11;0.66
все;10;0.6
ее;10;0.6
волчата;9;0.54
за;8;0.48
него;8;0.48
у;8;0.48
когда;7;0.42
была;6;0.36
ей;6;0.36
игнат;6;0.36
нее;6;0.36
но;6;0.36
опять;6;0.36
были;5;0.3
быть;5;0.3
вдруг;5;0.3
время;5;0.3
думала;5;0.3
крышу;5;0.3
ним;5;0.3
потом;5;0.3
себе;5;0.3
теперь;5;0.3
арапка;4;0.24
белолобый;4;0.24
будто;4;0.24
бы;4;0.24
был;4;0.24
было;4;0.24
го;4;0.24
далеко;4;0.24
дверь;4;0.24
должно;4;0.24
зимовье;4;0.24
кричал;4;0.24
морду;4;0.24
очень;4;0.24
при;4;0.24
свою;4;0.24
сильно;4;0.24
хлев;4;0.24
хлеву;4;0.24
чем;4;0.24
чтобы;4;0.24
ягненок;4;0.24
большой;3;0.18
вернулся;3;0.18
весь;3;0.18
вперед;3;0.18
даже;3;0.18
дороги;3;0.18
едва;3;0.18
есть;3;0.18
еще;3;0.18
здоровья;3;0.18
их;3;0.18
лапами;3;0.18
мать;3;0.18
насту;3;0.18
нга;3;0.18
немного;3;0.18
них;3;0.18
ночью;3;0.18
обыкновенно;3;0.18
они;3;0.18
пахло;3;0.18
прежде;3;0.18
раз;3;0.18
снег;3;0.18
спать;3;0.18
спустил;3;0.18
стал;3;0.18
стала;3;0.18
так;3;0.18
ход;3;0.18
ходи;3;0.18
ягнята;3;0.18
бежала;2;0.12
белым;2;0.12
больно;2;0.12
бу;2;0.12
бывало;2;0.12
быстро;2;0.12
взобралась;2;0.12
во;2;0.12
волка;2;0.12
волчатам;2;0.12
впереди;2;0.12
где;2;0.12
глаза;2;0.12
глупых;2;0.12
глядя;2;0.12
голове;2;0.12
голод;2;0.12
две;2;0.12
дело;2;0.12
детей;2;0.12
дома;2;0.12
дрова;2;0.12
друг;2;0.12
друга;2;0.12
дыру;2;0.12
жадностью;2;0.12
же;2;0.12
залаял;2;0.12
запахом;2;0.12
зимовью;2;0.12
зимовья;2;0.12
зубами;2;0.12
зубы;2;0.12
играть;2;0.12
иногда;2;0.12
кость;2;0.12
который;2;0.12
крепко;2;0.12
кругом;2;0.12
куры;2;0.12
лаем;2;0.12
лапой;2;0.12
ли;2;0.12
лоб;2;0.12
малейшего;2;0.12
март;2;0.12
машина;2;0.12
мня;2;0.12
мордой;2;0.12
мучил;2;0.12
навоза;2;0.12
нему;2;0.12
ничего;2;0.12
ночь;2;0.12
о;2;0.12
оглянулась;2;0.12
одностволкой;2;0.12
остановился;2;0.12
отчего;2;0.12
охоту;2;0.12
паром;2;0.12
пахнуло;2;0.12
петухи;2;0.12
пни;2;0.12
побежала;2;0.12
под;2;0.12
поиграть;2;0.12
полный;2;0.12
поодаль;2;0.12
породы;2;0.12
потемках;2;0.12
похожие;2;0.12
почувствовав;2;0.12
пошел;2;0.12
протянул;2;0.12
пугали;2;0.12
ружье;2;0.12
сараем;2;0.12
своей;2;0.12
своих;2;0.12
слабости;2;0.12
собак;2;0.12
собака;2;0.12
солнце;2;0.12
сосали;2;0.12
сосну;2;0.12
спину;2;0.12
стали;2;0.12
стало;2;0.12
старую;2;0.12
сугробу;2;0.12
судя;2;0.12
темное;2;0.12
тепле;2;0.12
теплым;2;0.12
тоже;2;0.12
только;2;0.12
том;2;0.12
трое;2;0.12
тут;2;0.12
ударил;2;0.12
ушел;2;0.12
фюйть;2;0.12
хвостами;2;0.12
